Model,Accuracy,Precision,Recall,Weighted F1,Macro F1
Optimised Random Forest,0.4775,0.4908141354376142,0.4775,0.48081797098709944,0.48060870436627234
Optimised HistGradientBoosting,0.4625,0.4744024411386679,0.4625,0.46566682505079393,0.4654518538624047
Hybrid Stacking,0.465,0.464361993747667,0.465,0.45473431969480005,0.45445917731550817
