,precision,recall,f1-score,support
High,0.934937470318189,0.9228125,0.9288354171581348,6400.0
Low,0.9422458172458172,0.91515625,0.9285034876347495,6400.0
Medium,0.8611222713271729,0.8930555555555556,0.8767982545851231,7200.0
accuracy,0.90965,0.90965,0.90965,0.90965
macro avg,0.9127685196303931,0.9103414351851852,0.9113790531260024,20000.0
weighted avg,0.9107026696982643,0.90965,0.9099958211843674,20000.0
