Model,Mean CV Accuracy,Std CV Accuracy,Mean CV Weighted F1,Std CV Weighted F1
Random Forest,0.458125,0.0264131832613943,0.4584724816004816,0.02409288061224744
HistGradientBoosting,0.44000000000000006,0.03303643821600627,0.4402619928120589,0.031175168145612192
Logistic Regression,0.41125,0.03251201700909989,0.40671587246549645,0.03194392142174096
Linear SVM,0.41187500000000005,0.02375000000000001,0.4065107431991379,0.02412157528737279
