Model,Feature_Set,Accuracy,Precision,Recall,Weighted_F1,Macro_F1
Baseline Model (Control),Caption + Hashtags + Metadata,0.4535,0.4487,0.4535,0.448,0.4473
Image-Enhanced Model,Baseline + 12 Image features,0.4524,0.4475,0.4524,0.4467,0.4461
