Model,Mean_Accuracy,Std_Accuracy,Mean_Weighted_F1,Std_Weighted_F1
Baseline Model,0.4522,0.0026,0.4475,0.0029
Image-Enhanced Model,0.4523,0.0028,0.4476,0.0031
