Model,Accuracy,Precision,Recall,Weighted F1,Macro F1
Logistic Regression,0.39,0.3879199029126214,0.39,0.38635942530830447,0.3862857130676762
Linear SVM,0.3825,0.3804833614661201,0.3825,0.37813365933954557,0.378057297206217
Random Forest,0.465,0.4680464478791943,0.465,0.4661825306768704,0.4659242644148304
HistGradientBoosting,0.435,0.4382324862637363,0.435,0.4362248530456791,0.43600717868469857
