mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__min_samples_leaf,param_classifier__max_leaf_nodes,param_classifier__max_iter,param_classifier__learning_rate,param_classifier__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
9.042868057886759,0.04191802298264175,0.6766530672709147,0.018632478508790087,40,47,300,0.07,0.1,"{'classifier__min_samples_leaf': 40, 'classifier__max_leaf_nodes': 47, 'classifier__max_iter': 300, 'classifier__learning_rate': 0.07, 'classifier__l2_regularization': 0.1}",0.9026887163910451,0.9033262084223947,0.905497637440936,0.9038375207514586,0.0012023836297176962,1,0.9862749142182139,0.9861811636322727,0.9866876664041699,0.9863812480848856,0.00022002489690320384
6.641473054885864,0.06480279392745843,0.6688431898752848,0.005119708534361273,15,15,400,0.1,1.0,"{'classifier__min_samples_leaf': 15, 'classifier__max_leaf_nodes': 15, 'classifier__max_iter': 400, 'classifier__learning_rate': 0.1, 'classifier__l2_regularization': 1.0}",0.9047136910788615,0.9022387220159748,0.9037350933773345,0.9035625021573903,0.001017745469968773,2,0.9634747717173232,0.9647872799204995,0.9640941988225147,0.9641187501534457,0.0005361103877244787
7.712380886077881,1.282251211846852,0.5234313011169434,0.07578699396051503,60,63,400,0.12,1.0,"{'classifier__min_samples_leaf': 60, 'classifier__max_leaf_nodes': 63, 'classifier__max_iter': 400, 'classifier__learning_rate': 0.12, 'classifier__l2_regularization': 1.0}",0.9034012074849065,0.9008512393595081,0.9049351233780845,0.9030625234074997,0.0016843509823297148,3,0.9899311870699192,0.9890124313276958,0.9906438669516631,0.989862495116426,0.0006677996142274078
7.489082495371501,0.1394419580308445,0.5572340488433838,0.0008570304624856641,60,47,250,0.07,0.0,"{'classifier__min_samples_leaf': 60, 'classifier__max_leaf_nodes': 47, 'classifier__max_iter': 250, 'classifier__learning_rate': 0.07, 'classifier__l2_regularization': 0.0}",0.903251209359883,0.9014137323283459,0.9041476036900923,0.9029375151261071,0.0011379268312366733,4,0.9819811373821087,0.9815873849211557,0.9819439757003038,0.9818374993345227,0.00017750711249428034
7.594656944274902,0.6076318078129799,0.5396227041880289,0.05871683388777529,5,47,250,0.1,0.05,"{'classifier__min_samples_leaf': 5, 'classifier__max_leaf_nodes': 47, 'classifier__max_iter': 250, 'classifier__learning_rate': 0.1, 'classifier__l2_regularization': 0.05}",0.903513706078674,0.9002887463906701,0.9044476111902797,0.9027500212198746,0.0017816565377998606,5,0.9897624360152251,0.9863499146869668,0.9897813777327783,0.9886312428116567,0.001613161121637058
10.08253264427185,0.5830701509377384,0.6593096256256104,0.039753415668569825,30,63,300,0.08,0.05,"{'classifier__min_samples_leaf': 30, 'classifier__max_leaf_nodes': 63, 'classifier__max_iter': 300, 'classifier__learning_rate': 0.08, 'classifier__l2_regularization': 0.05}",0.9026137173285333,0.9005512431094611,0.9044101102527563,0.9025250235635837,0.001576623786313977,6,0.9907186919918249,0.9892374327339546,0.9902688716391045,0.9900749987882946,0.0006200657271437694
7.854313850402832,0.2376694050145673,0.45655353864034015,0.008266799923391173,10,63,400,0.12,0.05,"{'classifier__min_samples_leaf': 10, 'classifier__max_leaf_nodes': 63, 'classifier__max_iter': 400, 'classifier__learning_rate': 0.12, 'classifier__l2_regularization': 0.05}",0.9026137173285333,0.9003637454531819,0.9040351008775219,0.9023375212197458,0.0015114950393214108,7,0.9903436896480603,0.9889374308589429,0.9905313683578956,0.9899374962882996,0.000711291769377902
7.429974635442098,0.7076210373545692,0.7559719085693359,0.05433513368848312,30,15,500,0.08,0.1,"{'classifier__min_samples_leaf': 30, 'classifier__max_leaf_nodes': 15, 'classifier__max_iter': 500, 'classifier__learning_rate': 0.08, 'classifier__l2_regularization': 0.1}",0.9041511981100236,0.9003637454531819,0.9020100502512562,0.9021749979381539,0.0015506139024085738,8,0.9661935387096169,0.9547184669904187,0.9629129635879552,0.9612749897626637,0.004825732167553476
6.169855276743571,0.04122783430775118,0.46527957916259766,0.0032747406641888575,60,47,200,0.1,1.0,"{'classifier__min_samples_leaf': 60, 'classifier__max_leaf_nodes': 47, 'classifier__max_iter': 200, 'classifier__learning_rate': 0.1, 'classifier__l2_regularization': 1.0}",0.9035887051411857,0.8997262534218322,0.9028725718142954,0.9020625101257712,0.001677653773477573,9,0.9845311533197082,0.983462396639979,0.9841751978100274,0.9840562492565715,0.0004443510465786828
6.127272288004558,0.08062840667092554,0.3823212782541911,0.005296345464813712,15,63,150,0.08,0.5,"{'classifier__min_samples_leaf': 15, 'classifier__max_leaf_nodes': 63, 'classifier__max_iter': 150, 'classifier__learning_rate': 0.08, 'classifier__l2_regularization': 0.5}",0.9017887276409045,0.900326245921926,0.9035850896272407,0.9019000210633571,0.001332742846745821,10,0.9780623628897681,0.9771061069131682,0.9784940188247647,0.9778874962092337,0.0005799474893233566
