image_filename,dataset_source,image_width,image_height,aspect_ratio,image_path,image_file_key
insta10048.jpg,instagram_data,1024,1024,1.0,datasets/raw/instagram_data/img/insta10048.jpg,img/insta10048
insta10049.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10049.jpg,img/insta10049
insta1005.jpg,instagram_data,640,640,1.0,datasets/raw/instagram_data/img/insta1005.jpg,img/insta1005
insta10050.jpg,instagram_data,1080,810,1.3333,datasets/raw/instagram_data/img/insta10050.jpg,img/insta10050
insta10051.jpg,instagram_data,1080,810,1.3333,datasets/raw/instagram_data/img/insta10051.jpg,img/insta10051
insta10052.jpg,instagram_data,1079,960,1.124,datasets/raw/instagram_data/img/insta10052.jpg,img/insta10052
insta10053.jpg,instagram_data,750,553,1.3562,datasets/raw/instagram_data/img/insta10053.jpg,img/insta10053
insta10054.jpg,instagram_data,750,679,1.1046,datasets/raw/instagram_data/img/insta10054.jpg,img/insta10054
insta10055.jpg,instagram_data,744,744,1.0,datasets/raw/instagram_data/img/insta10055.jpg,img/insta10055
insta10056.jpg,instagram_data,750,732,1.0246,datasets/raw/instagram_data/img/insta10056.jpg,img/insta10056
insta10057.jpg,instagram_data,750,750,1.0,datasets/raw/instagram_data/img/insta10057.jpg,img/insta10057
insta10058.jpg,instagram_data,937,1172,0.7995,datasets/raw/instagram_data/img/insta10058.jpg,img/insta10058
insta10059.jpg,instagram_data,1080,719,1.5021,datasets/raw/instagram_data/img/insta10059.jpg,img/insta10059
insta1006.jpg,instagram_data,640,640,1.0,datasets/raw/instagram_data/img/insta1006.jpg,img/insta1006
insta10060.jpg,instagram_data,938,1172,0.8003,datasets/raw/instagram_data/img/insta10060.jpg,img/insta10060
insta10061.jpg,instagram_data,734,734,1.0,datasets/raw/instagram_data/img/insta10061.jpg,img/insta10061
insta10062.jpg,instagram_data,713,471,1.5138,datasets/raw/instagram_data/img/insta10062.jpg,img/insta10062
insta10063.jpg,instagram_data,938,1172,0.8003,datasets/raw/instagram_data/img/insta10063.jpg,img/insta10063
insta10064.jpg,instagram_data,750,750,1.0,datasets/raw/instagram_data/img/insta10064.jpg,img/insta10064
insta10065.jpg,instagram_data,855,855,1.0,datasets/raw/instagram_data/img/insta10065.jpg,img/insta10065
insta10066.jpg,instagram_data,1080,1350,0.8,datasets/raw/instagram_data/img/insta10066.jpg,img/insta10066
insta10067.jpg,instagram_data,1068,1336,0.7994,datasets/raw/instagram_data/img/insta10067.jpg,img/insta10067
insta10068.jpg,instagram_data,1080,810,1.3333,datasets/raw/instagram_data/img/insta10068.jpg,img/insta10068
insta10069.jpg,instagram_data,1080,810,1.3333,datasets/raw/instagram_data/img/insta10069.jpg,img/insta10069
insta1007.jpg,instagram_data,640,640,1.0,datasets/raw/instagram_data/img/insta1007.jpg,img/insta1007
insta10070.jpg,instagram_data,392,491,0.7984,datasets/raw/instagram_data/img/insta10070.jpg,img/insta10070
insta10071.jpg,instagram_data,938,1172,0.8003,datasets/raw/instagram_data/img/insta10071.jpg,img/insta10071
insta10072.jpg,instagram_data,1080,1114,0.9695,datasets/raw/instagram_data/img/insta10072.jpg,img/insta10072
insta10073.jpg,instagram_data,1080,719,1.5021,datasets/raw/instagram_data/img/insta10073.jpg,img/insta10073
insta10074.jpg,instagram_data,1080,719,1.5021,datasets/raw/instagram_data/img/insta10074.jpg,img/insta10074
insta10075.jpg,instagram_data,750,557,1.3465,datasets/raw/instagram_data/img/insta10075.jpg,img/insta10075
insta10076.jpg,instagram_data,750,582,1.2887,datasets/raw/instagram_data/img/insta10076.jpg,img/insta10076
insta10077.jpg,instagram_data,750,563,1.3321,datasets/raw/instagram_data/img/insta10077.jpg,img/insta10077
insta10078.jpg,instagram_data,738,848,0.8703,datasets/raw/instagram_data/img/insta10078.jpg,img/insta10078
insta10079.jpg,instagram_data,627,627,1.0,datasets/raw/instagram_data/img/insta10079.jpg,img/insta10079
insta1008.jpg,instagram_data,640,640,1.0,datasets/raw/instagram_data/img/insta1008.jpg,img/insta1008
insta10080.jpg,instagram_data,1080,1350,0.8,datasets/raw/instagram_data/img/insta10080.jpg,img/insta10080
insta10081.jpg,instagram_data,1080,1350,0.8,datasets/raw/instagram_data/img/insta10081.jpg,img/insta10081
insta10082.jpg,instagram_data,739,739,1.0,datasets/raw/instagram_data/img/insta10082.jpg,img/insta10082
insta10083.jpg,instagram_data,918,1124,0.8167,datasets/raw/instagram_data/img/insta10083.jpg,img/insta10083
insta10084.jpg,instagram_data,689,390,1.7667,datasets/raw/instagram_data/img/insta10084.jpg,img/insta10084
insta10085.jpg,instagram_data,1080,810,1.3333,datasets/raw/instagram_data/img/insta10085.jpg,img/insta10085
insta10086.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10086.jpg,img/insta10086
insta10087.jpg,instagram_data,1080,719,1.5021,datasets/raw/instagram_data/img/insta10087.jpg,img/insta10087
insta10088.jpg,instagram_data,745,744,1.0013,datasets/raw/instagram_data/img/insta10088.jpg,img/insta10088
insta10089.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta10089.jpg,img/insta10089
insta1009.jpg,instagram_data,640,640,1.0,datasets/raw/instagram_data/img/insta1009.jpg,img/insta1009
insta10090.jpg,instagram_data,582,708,0.822,datasets/raw/instagram_data/img/insta10090.jpg,img/insta10090
insta10091.jpg,instagram_data,750,445,1.6854,datasets/raw/instagram_data/img/insta10091.jpg,img/insta10091
insta10092.jpg,instagram_data,936,1169,0.8007,datasets/raw/instagram_data/img/insta10092.jpg,img/insta10092
insta10093.jpg,instagram_data,1080,1350,0.8,datasets/raw/instagram_data/img/insta10093.jpg,img/insta10093
insta10094.jpg,instagram_data,1080,1350,0.8,datasets/raw/instagram_data/img/insta10094.jpg,img/insta10094
insta10095.jpg,instagram_data,960,960,1.0,datasets/raw/instagram_data/img/insta10095.jpg,img/insta10095
insta10096.jpg,instagram_data,750,743,1.0094,datasets/raw/instagram_data/img/insta10096.jpg,img/insta10096
insta10097.jpg,instagram_data,786,825,0.9527,datasets/raw/instagram_data/img/insta10097.jpg,img/insta10097
insta10098.jpg,instagram_data,872,1024,0.8516,datasets/raw/instagram_data/img/insta10098.jpg,img/insta10098
insta10099.jpg,instagram_data,733,733,1.0,datasets/raw/instagram_data/img/insta10099.jpg,img/insta10099
insta101.jpg,instagram_data,1080,1080,1.0,datasets/raw/instagram_data/img/insta101.jpg,img/insta101
