record_index,pc1,pc2,dataset_source
18304,26.129372,-21.138788,instagram_data
32784,-5.665132,-0.45267442,instagram_data2
26534,14.91751,-5.951124,instagram_data2
2400,5.4529133,9.918374,instagram_data
2493,-9.505106,-0.6490053,instagram_data
1022,1.6372108,-13.659849,instagram_data
28355,-2.1827636,0.7883578,instagram_data2
14918,-6.1427364,-0.9663056,instagram_data
13825,-0.5697881,5.3109784,instagram_data
13396,8.977313,1.3823453,instagram_data
16130,-10.838736,-2.390368,instagram_data
5134,-8.367892,0.63634163,instagram_data
12342,-6.458449,-1.7997496,instagram_data
22359,-2.8693914,7.8446484,instagram_data2
34181,5.911379,9.674642,instagram_data2
2708,-3.510812,8.163692,instagram_data
8847,2.9560623,-4.6706696,instagram_data
10359,-3.1195002,5.037768,instagram_data
7338,3.6853075,9.827276,instagram_data
32062,8.470596,15.942305,instagram_data2
27530,-4.2551875,7.9935446,instagram_data2
7665,-7.2005553,5.779078,instagram_data
11503,-7.692831,-4.9347863,instagram_data
8202,-6.720174,0.5296552,instagram_data
25022,-7.5687876,-1.0498865,instagram_data2
6342,-1.6354738,12.201674,instagram_data
29513,-3.080876,-7.3822527,instagram_data2
22343,8.397601,0.24593455,instagram_data2
23447,2.8220003,-5.305356,instagram_data2
32350,-11.6235895,-2.5802472,instagram_data2
14616,-0.5688631,9.119147,instagram_data
2703,-11.093305,-0.7659832,instagram_data
26239,-8.814511,2.9059548,instagram_data2
21566,-2.262075,3.9701195,instagram_data2
26681,12.02831,-18.642567,instagram_data2
8006,-0.090843745,9.697381,instagram_data
32984,0.027698025,11.806759,instagram_data2
19779,1.0325638,3.209177,instagram_data
26431,-8.315425,2.6033132,instagram_data2
13747,0.058626343,-6.9757824,instagram_data
584,9.427787,3.274321,instagram_data
17795,15.73892,-16.279547,instagram_data
85,2.2119029,7.036356,instagram_data
33022,8.707713,5.5655828,instagram_data2
15607,-8.94562,2.6554816,instagram_data
12594,-10.0303545,1.4623501,instagram_data
22367,-5.188898,3.4042995,instagram_data2
28100,-1.3958391,-0.43049023,instagram_data2
14949,-3.4690208,0.833226,instagram_data
5077,-9.257794,-6.245456,instagram_data
8693,3.0073464,0.636485,instagram_data
33645,-2.27321,5.432757,instagram_data2
28651,5.3256803,3.47895,instagram_data2
27689,-5.864958,-2.2399209,instagram_data2
8264,-4.574966,-0.013671339,instagram_data
17412,-7.5172787,-5.686361,instagram_data
10450,-0.639053,1.656073,instagram_data
20021,4.6584773,2.8004966,instagram_data
26484,-3.4664705,4.5742536,instagram_data2
16474,-2.9590328,5.5468426,instagram_data
13585,-11.034838,-1.156746,instagram_data
29285,-9.3128805,-9.517119,instagram_data2
23471,8.872242,14.881916,instagram_data2
13671,-13.591032,-1.7281766,instagram_data
31145,-9.677937,5.288392,instagram_data2
22566,4.4657283,-7.1350036,instagram_data2
16832,-2.2605443,10.879565,instagram_data
31438,-12.413973,-2.154435,instagram_data2
154,-6.516233,-1.3486923,instagram_data
34182,-3.6626525,3.5200033,instagram_data2
18935,-10.038179,0.54888064,instagram_data
14451,5.824931,13.982358,instagram_data
3908,-0.92349845,3.9012153,instagram_data
23012,1.1639266,7.8144255,instagram_data2
533,-8.020887,-0.20795868,instagram_data
985,-2.7610438,3.2170537,instagram_data
19359,0.7534186,3.3314438,instagram_data
26704,8.175498,7.1096945,instagram_data2
14240,-7.7214646,-0.522139,instagram_data
31444,13.40498,-7.4440007,instagram_data2
6067,4.1641517,14.233166,instagram_data
21784,-13.482406,-2.679944,instagram_data2
15088,-6.299917,3.2954698,instagram_data
5669,35.757397,0.58067095,instagram_data
8919,-5.721806,-2.2683032,instagram_data
8701,-0.17545956,-5.1130915,instagram_data
10835,-6.6716356,-1.5557103,instagram_data
16265,-10.113928,-2.6972778,instagram_data
24054,-3.429134,7.533223,instagram_data2
3086,16.017334,7.5215683,instagram_data
17440,-1.6047018,-1.1803917,instagram_data
5976,14.5397005,-9.861181,instagram_data
23705,4.9091444,11.255913,instagram_data2
8895,-0.93347985,-4.929927,instagram_data
